"","foodExp_Cereals_Cash_Purchase","foodExp_Cereals_Credit_Purchase","foodExp_Cereals_NonPurchase_Bartering","foodExp_Cereals_NonPurchase_BorrowFromFamilyFriends","foodExp_Cereals_NonPurchase_Farming","foodExp_Cereals_NonPurchase_FishHuntGather","foodExp_Cereals_NonPurchase_Gifts","foodExp_Cereals_NonPurchase_NonPurchased","foodExp_Cereals_NonPurchase_SocialSafetyNets","foodExp_Tubers_Cash_Purchase","foodExp_Tubers_Credit_Purchase","foodExp_Tubers_NonPurchase_Bartering","foodExp_Tubers_NonPurchase_BorrowFromFamilyFriends","foodExp_Tubers_NonPurchase_Farming","foodExp_Tubers_NonPurchase_FishHuntGather","foodExp_Tubers_NonPurchase_Gifts","foodExp_Tubers_NonPurchase_NonPurchased","foodExp_Tubers_NonPurchase_SocialSafetyNets","foodExp_Pulses_Cash_Purchase","foodExp_Pulses_Credit_Purchase","foodExp_Pulses_NonPurchase_Bartering","foodExp_Pulses_NonPurchase_BorrowFromFamilyFriends","foodExp_Pulses_NonPurchase_Farming","foodExp_Pulses_NonPurchase_FishHuntGather","foodExp_Pulses_NonPurchase_Gifts","foodExp_Pulses_NonPurchase_NonPurchased","foodExp_Pulses_NonPurchase_SocialSafetyNets","foodExp_FruitsVeg_Cash_Purchase","foodExp_FruitsVeg_Credit_Purchase","foodExp_FruitsVeg_NonPurchase_Bartering","foodExp_FruitsVeg_NonPurchase_Farming","foodExp_FruitsVeg_NonPurchase_FishHuntGather","foodExp_FruitsVeg_NonPurchase_Gifts","foodExp_FruitsVeg_NonPurchase_NonPurchased","foodExp_FruitsVeg_NonPurchase_SocialSafetyNets","foodExp_Proteins_Cash_Purchase","foodExp_Proteins_Credit_Purchase","foodExp_Proteins_NonPurchase_BorrowFromFamilyFriends","foodExp_Proteins_NonPurchase_Farming","foodExp_Proteins_NonPurchase_FishHuntGather","foodExp_Proteins_NonPurchase_Gifts","foodExp_Proteins_NonPurchase_NonPurchased","foodExp_Proteins_NonPurchase_SocialSafetyNets","foodExp_Fats_Cash_Purchase","foodExp_Fats_Credit_Purchase","foodExp_Fats_NonPurchase_Bartering","foodExp_Fats_NonPurchase_Farming","foodExp_Fats_NonPurchase_FishHuntGather","foodExp_Fats_NonPurchase_Gifts","foodExp_Fats_NonPurchase_NonPurchased","foodExp_Fats_NonPurchase_SocialSafetyNets","foodExp_Dairy_Cash_Purchase","foodExp_Dairy_Credit_Purchase","foodExp_Dairy_NonPurchase_Bartering","foodExp_Dairy_NonPurchase_BorrowFromFamilyFriends","foodExp_Dairy_NonPurchase_Farming","foodExp_Dairy_NonPurchase_FishHuntGather","foodExp_Dairy_NonPurchase_Gifts","foodExp_Dairy_NonPurchase_NonPurchased","foodExp_Dairy_NonPurchase_SocialSafetyNets","foodExp_Sugars_Cash_Purchase","foodExp_Sugars_Credit_Purchase","foodExp_Sugars_NonPurchase_Bartering","foodExp_Sugars_NonPurchase_BorrowFromFamilyFriends","foodExp_Sugars_NonPurchase_Farming","foodExp_Sugars_NonPurchase_FishHuntGather","foodExp_Sugars_NonPurchase_Gifts","foodExp_Sugars_NonPurchase_NonPurchased","foodExp_Sugars_NonPurchase_SocialSafetyNets","foodExp_Tea_Cash_Purchase","foodExp_Tea_Credit_Purchase","foodExp_Tea_NonPurchase_BorrowFromFamilyFriends","foodExp_Tea_NonPurchase_Farming","foodExp_Tea_NonPurchase_FishHuntGather","foodExp_Tea_NonPurchase_Gifts","foodExp_Tea_NonPurchase_NonPurchased"
"535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"537",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,50,,,,,,
"538",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,40,,,,,,,,,70,,,,,,
"539",40,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,240,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,50,,,,,,,,,60,10,,,,,
"540",2500,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"541",5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,,,,,,,,,30,,,,,,
"542",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
"543",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,300,,,,,,,,,100,,,,,,
"544",350,,,,,,,,,,,,,,,,,,35,,,,,,,120,,,,,,,,,,,,,,50,,,,70,,,,,,,,50,,,,,,,,,95,,,,,,,,,45,,,,,,
"545",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,300,,,,,65,,,,,,,,,,,,,,,45,,30,,,,,,,20,,120,,,,,,
"546",500,,,,,,,,,,,,,,,,,,70,,,,,,,90,,,,,110,,,,,,,,350,,,,,55,,,,,,,,,,,,130,,,,,85,,,,,,,,,65,,,,,,
"547",1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"548",9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,30,,,,,,
"549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,25,,,,,,,25,,,,,,,,
"550",230,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,150,,,,,,,,,200,,,,75,,,,,,,,,,,,,,,,,40,,,,,,,,,50,,,,,,
"551",100,,,,,,,,,100,,,,,,,,,240,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"552",300,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"553",230,,,,,,,,,100,,,,,,,,,230,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"554",250,,,,,,,,,300,,,,,,,,,210,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"555",500,,,,,,,,,250,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"556",600,,,,,,,,,300,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,10,,,,,,
"557",200,,,,,,,,,500,,,,,,,,,240,,,,,,,,,50,,,,,,,,250,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"558",1000,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"559",,,,,,,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"560",1000,2000,,,,,,,,1200,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"561",800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"562",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"563",4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"564",4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"566",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"567",2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"568",3500,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
"569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"570",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"571",100,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"572",300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"573",400,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"574",2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"575",600,,,,400,,,,,200,,,,730,,,,,,,,,,,,,,250,,,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"576",3500,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
"577",300,,,,,,,1200,,,,,,,,,2000,,,,,,,,,,,400,,,520,,,,,,,,,,,,,600,,,,,,,150,,,,,,,,,,150,,,,,,,,,,,,,,,
"578",800,,,,3000,,,,,,,,,3500,,,,,,,,,,,,,400,,,,500,,,,,,,,,,,,,400,,,,,,150,,,,,,,,,,,150,,,,,,,,,,,,,,,
"579",4000,,,,2000,,,,,,,,,3000,,,,,,,,,,,,,,,,,,300,,,,180,,,,,,,,210,,,,,,150,,,,,,,,,,,200,,,,,40,,,,,,,,,,
"580",,,,,3000,,,,,,,,,5000,,,,,,,,,,,,,,,,,2500,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"582",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"583",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"585",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"586",5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"587",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"590",600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,
"591",,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,1500,,,,,80,,,,,,,,,,,,,,,
"592",,,,,,,,,600,,,,,,,,,,,,,,,,,,50,,,,,200,,,,,,,,,,,,,,,,,,,100,,,,,3000,,,,,40,,,,,40,,,,,,,,,,
"593",,,,,,,,,800,,,,,,,,,,,,,,,,,,100,,,,,700,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,80,,,,,,,,,,,,,,,
"594",5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"595",1200,,,,,,,,600,,,,,,,,,,,,,,,,,,50,400,,,,1000,,,,,,,,800,,,,,,,,,,,200,,,,,2100,,,,,50,,,,,60,,,,,,,,,,
"596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"597",,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"599",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,300,,,,,,,,,200,,,,,,
"600",,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,600,,,,,,
"601",500,,,,,,,,,500,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,100,,,,,,,,,10,,,,,,
"602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,400,,,,,,
"603",600,,,,,,,,,600,,,,,,,,,300,,,,,,,,,,,,,,,,,350,,,,,,,,200,,,,,,,,,,,,,,,,,50,,,,,,,,,10,,,,,,
"604",600,,,,,,,,,600,,,,,,,,,350,,,,,,,,,,,,,,,,,350,,,,,,,,150,,,,,,,,,,,,,,,,,100,,,,,,,,,10,,,,,,
"605",600,,,,,,,,,600,,,,,,,,,300,,,,,,,,,,,,,,,,,350,,,,,,,,200,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"606",1000,,,,,,,,,1000,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,300,,,,,,,,,300,,,,,,
"607",,,,,,,,,,1500,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,500,,,,,,,,,300,,,,,,
"608",12000,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,
"609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,50,,,,,,
"610",500,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"611",400,,,,,,,,,400,,,,,,,,,150,,,,,,,,,25,,,,,,,,350,,,,,,,,120,,,,,,,,,,,,,,,,,75,,,,,,,,,60,,,,,,
"612",1000,,,,,,,,,200,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"613",300,,,,,,,,,300,,,,,,,,,100,,,,,,,,,,,,,,,,,400,,,,,,,,300,,,,,,,,,,,,,,,,,120,,,,,,,,,200,,,,,,
"614",,,,,,,,,,350,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"615",600,,,,,,,,,600,,,,,,,,,200,,,,,,,,,,,,,,,,,350,,,,,,,,200,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"616",600,,,,,,,,,250,,,,,,,,,340,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,560,,,,,,,,,150,,,,,,
"617",,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,200,,,,,,
"618",,,,,,,,,,1200,600,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,200,50,,,,,,,,,,,,,,
"619",600,,,,,,,,,600,,,,,,,,,180,,,,,,,,,,,,,,,,,400,,,,,,,,300,,,,,,,,,,,,,,,,,100,,,,,,,,,180,,,,,,
"620",600,,,,,,,,,300,,,,,,,,,300,,,,,,,,,,,,,,,,,500,,,,,,,,300,,,,,,,,,,,,,,,,,250,,,,,,,,,150,,,,,,
"621",,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,,,,,,,,1200,,,,,,
"622",900,,,,,,,,,500,,,,,,,,,300,,,,,,,,,,,,,,,,,400,,,,,,,,500,,,,,,,,,,,,,,,,,450,,,,,,,,,200,,,,,,
"623",,,,,,,,,,2400,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"624",,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"625",,,,,,,,,,1500,,,,,,,,,300,,,,,,,,,,,,,,,,,1200,,,,,,,,2200,,,,,,,,,,,,,,,,,1500,,,,,,,,,200,,,,,,
"626",2000,,,,,,,,,2000,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,
"627",2500,,,,,,,,,2800,,,,,,,,,2000,,,,,,,,,,,,,,,,,3500,,,,,,,,2600,,,,,,,,,,,,,,,,,2300,,,,,,,,,2300,,,,,,
"628",3000,,,,,,,,,4000,,,,,,,,,4500,,,,,,,,,1500,,,,,,,,5400,,,,,,,,2500,,,,,,,,,,,,,,,,,2500,,,,,,,,,2000,,,,,,
"629",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,200,,,,,,,,,,,,,,,,,500,,,,,,,,,250,,,,,,
"630",1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,200,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,
"631",1000,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,600,,,,,,,,600,,,,,,,,,,,,,,,,,500,,,,,,,,,50,,,,,,
"632",2000,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,200,,,,,,,,100,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"633",800,,,,,,,,,500,,,,,,,,,600,,,,,,,,,200,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,600,,,,,,,,,200,,,,,,
"634",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,
"635",1200,,,,,,,,,,,,,,,,,,800,,,,,,,,,200,,,,,,,,1000,,,,,,,,800,,,,,,,,,,,,,,,,,600,,,,,,,,,800,,,,,,
"636",,,,,,,,,,600,,,,,,,,,800,,,,,,,,,,,,,,,,,1500,,,,,,,,2000,,,,,,,,,,,,,,,,,800,,,,,,,,,50,,,,,,
"637",3000,,,,,,,,,1200,,,,,,,,,2000,,,,,,,,,200,,,,,,,,300,,,,,,,,6000,,,,,,,,,,,,,,,,,2000,,,,,,,,,800,,,,,,
"638",,,,,,,,,,3000,,,,,,,,,4800,,,,,,,,,,,,,,,,,3500,,,,,,,,6000,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,
"639",6000,,,,,,,,,,,,,,,,,,30000,,,,,,,,,,,,,,,,,3500,,,,,,,,6000,,,,,,,,,,,,,,,,,3200,,,,,,,,,3000,,,,,,
"640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,
"641",1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,
"642",4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"643",4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"644",4800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"645",4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,300,,,,,,
"646",4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,
"647",15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,350,,,,,,,,,,,,,,
"648",12000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,2480,,,,,,,,,,,,,,
"649",16000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,480,300,,,,,,,,,,,,,,
"650",9000,,,,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,2500,,,,,,,,,1500,,,,,,
"651",800,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,100,,,,,,,,,80,,,,,,
"652",1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,100,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"653",1000,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,500,,,,,,,,60,,,,,,,,,,,,,,,,,100,,,,,,,,,50,,,,,,
"654",1700,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,40,,,,,,,,,20,,,,,,
"655",500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
"656",300,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,50,,,,,,,,,,,,,,,
"657",400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"658",1000,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"659",1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"660",,,,,,,,,1020,,,,,,,,,,,,,,,,,,200,,,,600,,,,,,,,,,,,,,,,,,,,150,,,,,200,,,,,50,,,,,,,,,,,,,,,
"661",1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
"662",4850,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"663",5000,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"664",6800,,,,,,,,,,,,,,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
"665",7200,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
"666",1000,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"667",800,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
"668",1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,
"669",2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"670",3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"671",5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"672",,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"673",5800,350,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
"674",8500,,,,,,,,,,,,,,,,,,200,,,,,,,,,50,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
"675",6500,,,,,,,,,,,,,,,,,,2000,,,,,,,200,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
"676",9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,
"677",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,500,,,,,,,,,,,,,,,
"678",400,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"679",,,,,3000,,,,,,,,,5000,,,,,,,,,,,,,,,,,,2500,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
