"","foodCns_7day_Cereals_Bartering","foodCns_7day_Cereals_Begging","foodCns_7day_Cereals_BorrowFromFamilyFriends","foodCns_7day_Cereals_Farming","foodCns_7day_Cereals_FishHuntGather","foodCns_7day_Cereals_Gifts","foodCns_7day_Cereals_Purchased","foodCns_7day_Cereals_SocialSafetyNets","foodCns_7day_Tubers_Bartering","foodCns_7day_Tubers_Begging","foodCns_7day_Tubers_BorrowFromFamilyFriends","foodCns_7day_Tubers_Farming","foodCns_7day_Tubers_FishHuntGather","foodCns_7day_Tubers_Gifts","foodCns_7day_Tubers_Purchased","foodCns_7day_Tubers_SocialSafetyNets","foodCns_7day_Pulses_Bartering","foodCns_7day_Pulses_Begging","foodCns_7day_Pulses_BorrowFromFamilyFriends","foodCns_7day_Pulses_Farming","foodCns_7day_Pulses_FishHuntGather","foodCns_7day_Pulses_Gifts","foodCns_7day_Pulses_Purchased","foodCns_7day_Pulses_SocialSafetyNets","foodCns_Veg_Bartering","foodCns_Veg_Begging","foodCns_Veg_BorrowFromFamilyFriends","foodCns_Veg_Farming","foodCns_Veg_FishHuntGather","foodCns_Veg_Gifts","foodCns_Veg_Purchased","foodCns_Veg_SocialSafetyNets","foodCns_7day_Fruits_Bartering","foodCns_7day_Fruits_Begging","foodCns_7day_Fruits_BorrowFromFamilyFriends","foodCns_7day_Fruits_Farming","foodCns_7day_Fruits_FishHuntGather","foodCns_7day_Fruits_Gifts","foodCns_7day_Fruits_Purchased","foodCns_7day_Fruits_SocialSafetyNets","foodCns_7day_Meat_Bartering","foodCns_7day_Meat_Begging","foodCns_7day_Meat_BorrowFromFamilyFriends","foodCns_7day_Meat_Farming","foodCns_7day_Meat_FishHuntGather","foodCns_7day_Meat_Gifts","foodCns_7day_Meat_Purchased","foodCns_7day_Meat_SocialSafetyNets","foodCns_7day_Fish_Begging","foodCns_7day_Fish_BorrowFromFamilyFriends","foodCns_7day_Fish_Farming","foodCns_7day_Fish_FishHuntGather","foodCns_7day_Fish_Gifts","foodCns_7day_Fish_Purchased","foodCns_7day_Fish_SocialSafetyNets","foodCns_7day_Eggs_Bartering","foodCns_7day_Eggs_Begging","foodCns_7day_Eggs_BorrowFromFamilyFriends","foodCns_7day_Eggs_Farming","foodCns_7day_Eggs_FishHuntGather","foodCns_7day_Eggs_Gifts","foodCns_7day_Eggs_Purchased","foodCns_7day_Eggs_SocialSafetyNets","foodCns_7day_Dairy_Bartering","foodCns_7day_Dairy_Begging","foodCns_7day_Dairy_BorrowFromFamilyFriends","foodCns_7day_Dairy_Farming","foodCns_7day_Dairy_FishHuntGather","foodCns_7day_Dairy_Gifts","foodCns_7day_Dairy_Purchased","foodCns_7day_Fats_Bartering","foodCns_7day_Fats_Begging","foodCns_7day_Fats_BorrowFromFamilyFriends","foodCns_7day_Fats_Farming","foodCns_7day_Fats_FishHuntGather","foodCns_7day_Fats_Gifts","foodCns_7day_Fats_Purchased","foodCns_7day_Fats_SocialSafetyNets","foodCns_7day_Sugar_Bartering","foodCns_7day_Sugar_Begging","foodCns_7day_Sugar_BorrowFromFamilyFriends","foodCns_7day_Sugar_Farming","foodCns_7day_Sugar_FishHuntGather","foodCns_7day_Sugar_Gifts","foodCns_7day_Sugar_Purchased","foodCns_7day_Sugar_SocialSafetyNets","foodCns_7day_Condiments_Bartering","foodCns_7day_Condiments_Begging","foodCns_7day_Condiments_BorrowFromFamilyFriends","foodCns_7day_Condiments_Farming","foodCns_7day_Condiments_FishHuntGather","foodCns_7day_Condiments_Gifts","foodCns_7day_Condiments_Purchased","foodCns_7day_Condiments_SocialSafetyNets"
"709",,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,7,,,,,,,,7,
"710",,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"711",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2,,,,,,,,3,,,,,,,,3,
"712",,,,,,,5,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,7,,,,,,,,,,7,,,,,,,,7,,,,,,,,7,
"713",,,,,,,7,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"714",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,7,,,,,,,,5,,,,,,,,7,
"715",,,,,,,7,,,,,,,,,,,,,,,,2,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2,,,,,,,,1,,,,,,,,1,
"716",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"717",,,,,,,7,,,,,,,,,,,,,,,,2,,,,,,,,5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,7,,,,,,,,7,
"718",,,,,,,7,,,,,,,,,,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,6,,,,,,,,7,
"719",,,,,,,6,,,,,,,,,,,,,,,,2,,,,,,5,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,7,,,,,,,,7,
"720",,,,,,,7,,,,,,,,,,,,,,,,3,,,,,,6,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,7,,,,,,,,7,,,,,,,,7,
"721",,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,5,,,,,,,,2,,,,,,,,2,
"722",,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"723",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,4,,,,,,,,5,,,,,,,,7,
"724",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,7,,,,,,,,7,,,,,,,,7,
"725",,,,7,,,,,,1,,,,,,,,1,,,,,,,,,,,7,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,7,,,,,,,,,,,,2,,,,,,,,3,,,7,,,,,,
"726",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,7,,,,,,,7,,,,,,,,7,,,,,,,,7,
"727",,,,,,,7,,,,,,,,,,,,,,,,5,,,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,7,,,,,,,,7,
"728",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,3,,,,,,,,3,
"729",,,,,,,5,,,,,,,,,,,,,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,7,
"730",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,7,
"731",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,7,,,,,,,,7,
"732",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,7,,,,,,,,7,
"733",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,7,
"734",,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,2,,,,,,,,2,
"735",,,,,,,4,,,,,,,,,,,,,,,,2,,,,,,7,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,7,
"736",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2,,,,,,,,1,,,,,,,,1,
"737",,,,,,,3,,,,,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,
"738",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,7,,,,,,,,,,,5,,,,,,,,5,
"739",,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,1,,,,,,,,4,
"740",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,5,,,,,,,,5,
"741",,,,,,,4,,,,,,,,,,,,,,,,1,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,7,
"742",,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,7,
"743",,,,6,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,4,,,,,,,,1,,,,,,,,4,
"744",,,,,,,5,,,,,,,,,,,,,,,,2,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,,,,,,,2,,,,,,,,5,
"745",,,,,,,5,,,,,,,,,,,,,,,,3,,,,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,2,
"746",,,,,,,7,,,,,,,,,,,,,,,,2,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,7,,,,,,,,7,,,,,,,,7,
"747",,,,,,,3,,,,,,,,,,,,,,,,3,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,3,
"748",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"749",,,,,,,4,,,,,,,,,,,,,,,,2,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,4,
"750",,,,,,,7,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"751",,,,,,,6,,,,,,,,,,,,,,,,3,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,6,
"752",,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,3,,,,,,,,3,
"753",,,,7,,,,,,,,,,,2,,,,,1,,,,,,,,,1,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,5,,,,,,,,,,2,,,,,,,,5,,,,,,,,2,
"754",,,,,,,7,,,,,,,,2,,,,,,,,1,,,,,,2,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,,,2,,,,,,,,2,,,,,,,,2,
"755",,,,,,,7,,,,,,,,2,,,,1,,,,,,,,,,5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,5,,,,,,,,5,,,,,,,,3,
"756",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,2,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,5,,,,,,,5,,,,,,,,,,,5,,,,,,,,,
"757",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,1,,,,,,,,3,,,,,,,,,
"758",,,,,,,7,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,7,,,,,,,,,,7,,,,,,,,7,,,,,,,,7,
"759",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,
"760",,,,,,,7,,,,,,,,,,,,,,,,2,,,,,7,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2,,,,,7,,,,,,,7,,,,,,,,,,,7,,,,,,,,7,
"761",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,5,,,,,,,5,,,,,,,,,,,4,,,,,,,,1,
"762",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,4,,,,,,,,,
"763",,,,,,,7,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,,,5,,,,,,,,7,,,,,,,,,
"764",,,,,,,7,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,2,,,,,,,,1,,,,,,,,,,1,,,,2,,,,,,,,5,,,,,,,,,,2,,,,,,,,5,,,,,,,,,1
"765",,,,,,,7,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2,,,,,,,,7,,,,,,,7,,,,,,,,,,,7,,,,,,,,7,
"766",,,,,,,7,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,7,,,,,,,,,,7,,,,,,,,7,,,,,,,,7,
"767",,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6,,,,,,,4,,,,,,,,,,,4,,,,,,,,,
"768",,,,,,,7,,,,,,,2,,,,,,,,1,,,,,,,1,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,,,2,,,,,,,,5,,,,,,,,,
"769",,,,,,,6,,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,1,,,,,,,,,,,5,,,,,,,,1,
"770",,,,,,,7,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,7,,,,,,,,,,,7,,,,,,,,7,
"771",,,,,,,7,,,,,,,2,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,2,,,,,,,,5,,,,,,,,,
"772",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,5,
"773",,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,5,,,,,,,,3,,,,,,,,,
"774",,,,,,,7,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,,
"775",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,6,,,,,,,,,,3,,,,,,,,1,,,,,5,,,,
"776",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"777",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,6,,,,,,,,,,,,,,,,2,
"778",,,,,,,2,,,,,,3,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,
"779",,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,6,,,,,,,,7,,,,,,,5,,,,,,,,,,,2,,,,,,,,,
"780",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,3,,,,,,,,,,,,,,,,,
"781",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,4,,,,,,,,,,,,,,,,,
"782",,,,,,,7,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,7,,,,,,,,,
"783",,,,,,,5,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,
"784",,,,,,,7,,,,,,,,,,,,,,,,7,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,3,,,,,,,,4,,,,,,,2,,
"786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"787",,,,,,,7,,,,,,,,,,,,,,,,7,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"788",,,,,,,6,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
"789",,,,,,,7,,,,,,,,,,,,,,,,2,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,7,,,,,,,,3,,,,,,,,7,
"790",,,,,,,5,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,7,,,,,,,,7,,,,,,,,7,
"791",,,,,,,7,,,,,,,,,,,,,,,,3,,,,,,7,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,7,,,,,,,,5,,,,,,,,7,
"792",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,7,,,,,,,,,,3,,,,,,,,2,,,,,,,,2,
"793",,,,,,,7,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,7,,,,,,,,6,,,,,,,,7,
"794",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"795",,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,4,,,,,,,,7,
"796",,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,7,,,,,,,,6,,,,,,,,7,
"797",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"798",,,,,,,7,,,,,,,,,,,,,,,,2,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"799",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2,,,,,,,,2,,,,,,,,,
"800",,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,3,,,,,,,,2,,,,,,,,2,
"801",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,3,,,,,,,,4,,,,,,,,7,
"802",,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"803",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"804",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"805",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"807",,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"808",,,,7,,,,,,,,7,,,,,,,,7,,,,,,,,7,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,7,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"809",,,,,,,7,,,,,,,,7,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"810",,,,7,,,,,,,,7,,,,,,,,7,,,,,,,,,7,,,,,,,,2,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,7,,,,,,,,7,,,,,,,,2,
"811",,,,7,,,,,,,,7,,,,,,,,6,,,,,,,,1,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,7,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,
"812",,,,,,,6,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,
"813",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"814",,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,
"815",,,,,,,7,,,,,,,,,,,,,,,,3,,,,,,7,,,,,,,,5,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,7,,,,,,,,,,,,,,,,,,2,,,,,,,,2,
"816",,,,,,,6,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,2,,,,,,,,1,,,,,,,,1,
"817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"818",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"819",,,,,,,,7,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"820",,,,,,,7,,,,,,,,,,,,,,,,3,,,,,,4,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,3,,,,,,,,1,,,,,,,2,,,,,
"821",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"822",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,7,,,,,,,,,,,,,,,,,,,,
"823",,,,,,,4,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,4,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"824",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,1,,,,,,,,,,,2,,,,,,,,1,
"825",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,2,,,,,,,,,,,,,,,,,,,,
"826",,,,7,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,3,,,,,,,,7,
